support,itemsets
0.6032745591939547,frozenset({'junior'})
0.6007556675062973,frozenset({'3.2_3.6'})
0.5188916876574308,frozenset({'16...20'})
0.4080604534005038,"frozenset({'junior', '3.2_3.6'})"
0.34005037783375314,"frozenset({'junior', '16...20'})"
0.33879093198992444,frozenset({'3.6_4.0'})
0.336272040302267,"frozenset({'16...20', '3.2_3.6'})"
0.30856423173803527,frozenset({'engineering'})
0.2518891687657431,"frozenset({'junior', '21...25'})"
0.2518891687657431,frozenset({'21...25'})
0.22040302267002518,frozenset({'cs'})
0.22040302267002518,"frozenset({'16...20', 'cs'})"
0.22040302267002518,"frozenset({'cs', '3.2_3.6'})"
0.22040302267002518,"frozenset({'16...20', 'cs', '3.2_3.6'})"
0.21032745591939547,"frozenset({'junior', 'engineering', '3.2_3.6', '21...25'})"
0.21032745591939547,"frozenset({'junior', '3.2_3.6', '21...25'})"
0.21032745591939547,"frozenset({'engineering', '3.2_3.6', '21...25'})"
0.21032745591939547,"frozenset({'3.2_3.6', '21...25'})"
0.21032745591939547,"frozenset({'junior', 'engineering', '3.2_3.6'})"
0.21032745591939547,"frozenset({'engineering', '21...25'})"
0.21032745591939547,"frozenset({'engineering', '3.2_3.6'})"
0.21032745591939547,"frozenset({'junior', 'engineering'})"
0.21032745591939547,"frozenset({'junior', 'engineering', '21...25'})"
0.20277078085642317,frozenset({'senior'})
0.20025188916876574,frozenset({'26...30'})
0.1977329974811083,"frozenset({'junior', '16...20', '3.2_3.6'})"
0.17884130982367757,"frozenset({'16...20', 'senior'})"
0.172544080604534,"frozenset({'16...20', '3.6_4.0'})"
0.163727959697733,"frozenset({'junior', '3.6_4.0'})"
