support,itemsets
0.7583333333333333,frozenset({'current_act_ YES'})
0.69,frozenset({'save_act_ YES'})
0.6633333333333333,frozenset({'children(0_1)'})
0.66,frozenset({'Married_YES'})
0.6516666666666666,frozenset({'mortgage_NO'})
0.5433333333333333,frozenset({'pep_NO'})
0.5316666666666666,"frozenset({'save_act_ YES', 'current_act_ YES'})"
0.5066666666666667,frozenset({'Car_NO'})
0.5016666666666667,"frozenset({'mortgage_NO', 'current_act_ YES'})"
0.5,frozenset({'FEMALE'})
0.5,frozenset({'MALE'})
0.5,"frozenset({'current_act_ YES', 'children(0_1)'})"
0.49333333333333335,frozenset({'Car_YES'})
0.48833333333333334,"frozenset({'Married_YES', 'current_act_ YES'})"
0.475,"frozenset({'income(4956.094, 24386.173)'})"
0.46166666666666667,"frozenset({'save_act_ YES', 'Married_YES'})"
0.45666666666666667,frozenset({'pep_YES'})
0.45,"frozenset({'save_act_ YES', 'mortgage_NO'})"
0.4483333333333333,"frozenset({'save_act_ YES', 'children(0_1)'})"
0.4483333333333333,"frozenset({'Married_YES', 'children(0_1)'})"
0.4483333333333333,frozenset({'INNER_CITY'})
0.435,"frozenset({'mortgage_NO', 'Married_YES'})"
0.41333333333333333,"frozenset({'mortgage_NO', 'children(0_1)'})"
0.4066666666666667,"frozenset({'pep_NO', 'current_act_ YES'})"
0.4033333333333333,"frozenset({'pep_NO', 'Married_YES'})"
0.39166666666666666,"frozenset({'save_act_ YES', 'pep_NO'})"
0.39166666666666666,"frozenset({'Car_NO', 'current_act_ YES'})"
0.39166666666666666,"frozenset({'income(24386.173, 43758.137)'})"
0.38333333333333336,"frozenset({'FEMALE', 'current_act_ YES'})"
0.375,"frozenset({'MALE', 'current_act_ YES'})"
0.36666666666666664,"frozenset({'Car_YES', 'current_act_ YES'})"
0.35833333333333334,"frozenset({'income(4956.094, 24386.173)', 'current_act_ YES'})"
0.3566666666666667,"frozenset({'age(50.667, 67.0)'})"
0.35333333333333333,"frozenset({'save_act_ YES', 'mortgage_NO', 'current_act_ YES'})"
0.3516666666666667,"frozenset({'pep_YES', 'current_act_ YES'})"
0.34833333333333333,frozenset({'mortgage_YES'})
0.34833333333333333,"frozenset({'save_act_ YES', 'Car_YES'})"
0.34833333333333333,"frozenset({'mortgage_NO', 'pep_NO'})"
0.3466666666666667,"frozenset({'save_act_ YES', 'MALE'})"
0.345,"frozenset({'Car_NO', 'children(0_1)'})"
0.3433333333333333,"frozenset({'save_act_ YES', 'Married_YES', 'current_act_ YES'})"
0.3433333333333333,"frozenset({'pep_YES', 'children(0_1)'})"
0.3433333333333333,"frozenset({'save_act_ YES', 'current_act_ YES', 'children(0_1)'})"
0.3433333333333333,"frozenset({'save_act_ YES', 'FEMALE'})"
0.3416666666666667,"frozenset({'mortgage_NO', 'FEMALE'})"
0.3416666666666667,"frozenset({'INNER_CITY', 'current_act_ YES'})"
0.3416666666666667,"frozenset({'Car_NO', 'save_act_ YES'})"
0.34,frozenset({'Married_NO'})
0.33666666666666667,"frozenset({'Car_NO', 'Married_YES'})"
0.335,"frozenset({'MALE', 'Married_YES'})"
0.3333333333333333,"frozenset({'MALE', 'children(0_1)'})"
0.33166666666666667,"frozenset({'mortgage_NO', 'Married_YES', 'current_act_ YES'})"
0.33,"frozenset({'FEMALE', 'children(0_1)'})"
0.33,"frozenset({'Married_YES', 'current_act_ YES', 'children(0_1)'})"
0.3283333333333333,"frozenset({'Car_NO', 'mortgage_NO'})"
0.325,"frozenset({'age(34.333, 50.667)'})"
0.325,"frozenset({'income(4956.094, 24386.173)', 'Married_YES'})"
0.325,"frozenset({'Married_YES', 'FEMALE'})"
0.3233333333333333,"frozenset({'Car_YES', 'mortgage_NO'})"
0.3233333333333333,"frozenset({'Car_YES', 'Married_YES'})"
0.32166666666666666,"frozenset({'mortgage_NO', 'current_act_ YES', 'children(0_1)'})"
0.32,"frozenset({'pep_NO', 'children(0_1)'})"
0.31833333333333336,"frozenset({'income(4956.094, 24386.173)', 'children(0_1)'})"
0.31833333333333336,"frozenset({'Car_YES', 'children(0_1)'})"
0.31833333333333336,"frozenset({'age(17.951, 34.333)'})"
0.31333333333333335,"frozenset({'income(4956.094, 24386.173)', 'mortgage_NO'})"
0.31,"frozenset({'mortgage_NO', 'MALE'})"
0.31,"frozenset({'INNER_CITY', 'children(0_1)'})"
