antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'age(34.333, 50.667)', 'current_act_ YES'})","frozenset({'income(4956.094, 24386.173)'})",0.255,0.475,0.23,0.9019607843137255,1.8988648090815274,0.10887500000000001,5.355000000000001
"frozenset({'age(34.333, 50.667)'})","frozenset({'income(4956.094, 24386.173)'})",0.325,0.475,0.29,0.8923076923076922,1.8785425101214575,0.135625,4.874999999999997
"frozenset({'save_act_ YES', 'mortgage_NO', 'pep_NO'})",frozenset({'Married_YES'}),0.23666666666666666,0.66,0.2,0.8450704225352114,1.2804097311139566,0.043800000000000006,2.1945454545454557
"frozenset({'mortgage_NO', 'pep_NO'})",frozenset({'Married_YES'}),0.34833333333333333,0.66,0.285,0.8181818181818181,1.2396694214876032,0.055099999999999955,1.8699999999999992
"frozenset({'mortgage_NO', 'pep_NO', 'current_act_ YES'})",frozenset({'Married_YES'}),0.2633333333333333,0.66,0.215,0.8164556962025317,1.2370540851553509,0.041200000000000014,1.8524137931034483
"frozenset({'pep_NO', 'children(0_1)'})",frozenset({'Married_YES'}),0.32,0.66,0.26,0.8125,1.231060606060606,0.04879999999999998,1.8133333333333332
"frozenset({'save_act_ YES', 'mortgage_NO', 'children(0_1)'})",frozenset({'current_act_ YES'}),0.2783333333333333,0.7583333333333333,0.22333333333333333,0.8023952095808383,1.058103573073633,0.012263888888888907,1.222979797979798
"frozenset({'Car_NO', 'mortgage_NO'})",frozenset({'current_act_ YES'}),0.3283333333333333,0.7583333333333333,0.2633333333333333,0.8020304568527918,1.05762258046522,0.014347222222222233,1.2207264957264956
frozenset({'Married_NO'}),frozenset({'current_act_ YES'}),0.34,0.7583333333333333,0.27,0.7941176470588235,1.0471881060116355,0.012166666666666659,1.1738095238095236
"frozenset({'age(34.333, 50.667)', 'income(4956.094, 24386.173)'})",frozenset({'current_act_ YES'}),0.29,0.7583333333333333,0.23,0.7931034482758622,1.045850701023115,0.01008333333333336,1.1680555555555565
"frozenset({'age(17.951, 34.333)'})",frozenset({'save_act_ YES'}),0.31833333333333336,0.69,0.25166666666666665,0.7905759162303664,1.1457621974353136,0.03201666666666664,1.4802499999999994
